Generator,bus,carrier,p_nom,marginal_cost,capital_cost
AT0 0 CCGT,AT0 0,CCGT,3365.2,46.589307502346536,104788.0207833239
BE0 0 CCGT,BE0 0,CCGT,1084.0,46.803120689655174,104788.02078332388
BE0 1 CCGT,BE0 1,CCGT,3994.3,46.80312068965517,104788.02078332387
BG0 0 CCGT,BG0 0,CCGT,93.0,46.803120689655174,104788.02078332388
CH0 0 CCGT,CH0 0,CCGT,55.0,46.803120689655174,104788.02078332388
DE0 0 CCGT,DE0 0,CCGT,417.1,59.54056331150483,104788.02078332388
DE0 1 CCGT,DE0 1,CCGT,3354.015,51.936062256185615,104788.02078332388
DE0 10 CCGT,DE0 10,CCGT,1896.8,52.729741424238966,104788.0207833239
DE0 11 CCGT,DE0 11,CCGT,7399.779,50.322643010730296,104788.02078332388
DE0 11 OCGT,DE0 11,OCGT,14.0,60.52232682705402,47718.67056370105
DE0 12 CCGT,DE0 12,CCGT,2655.95,52.32025835827851,104788.02078332388
DE0 2 CCGT,DE0 2,CCGT,1258.21,51.761936868555935,104788.02078332387
DE0 3 CCGT,DE0 3,CCGT,859.8100000000001,51.32684011380529,104788.02078332388
DE0 4 CCGT,DE0 4,CCGT,2973.0899999999997,49.448320383944264,104788.02078332388
DE0 4 OCGT,DE0 4,OCGT,23.31,58.31466344697392,47718.67056370105
DE0 5 CCGT,DE0 5,CCGT,3259.7,53.23855921481151,104788.0207833239
DE0 6 CCGT,DE0 6,CCGT,1249.54,61.59983565595799,104788.02078332388
DE0 6 OCGT,DE0 6,OCGT,9.84,58.47428683865326,47718.67056370105
DE0 7 CCGT,DE0 7,CCGT,644.0,55.626697112331954,104788.02078332388
DE0 8 CCGT,DE0 8,CCGT,408.0,51.4677765709252,104788.02078332388
DE0 9 CCGT,DE0 9,CCGT,576.4,57.3574112240224,104788.02078332388
DK0 0 CCGT,DK0 0,CCGT,775.2,50.73735790541262,104788.02078332387
DK1 0 CCGT,DK1 0,CCGT,1301.0,46.803120689655174,104788.02078332388
EE0 0 CCGT,EE0 0,CCGT,216.0,46.803120689655174,104788.02078332388
ES0 0 CCGT,ES0 0,CCGT,7203.784000000001,61.68430597132561,104788.02078332387
ES0 1 CCGT,ES0 1,CCGT,1959.58,46.67718701796499,104788.0207833239
ES0 2 CCGT,ES0 2,CCGT,6137.620000000001,46.80312068965516,104788.02078332387
ES0 3 CCGT,ES0 3,CCGT,4557.017999999999,58.120820563553465,104788.0207833239
ES0 4 CCGT,ES0 4,CCGT,6454.265,48.33882229672945,104788.02078332388
ES0 5 CCGT,ES0 5,CCGT,615.977,46.80312068965518,104788.0207833239
ES2 0 CCGT,ES2 0,CCGT,1343.0,46.803120689655174,104788.02078332387
FI1 0 CCGT,FI1 0,CCGT,129.8,46.803120689655174,104788.02078332387
FI1 1 CCGT,FI1 1,CCGT,2579.8,43.9042260540782,104788.02078332388
FR0 0 CCGT,FR0 0,CCGT,1855.0,47.36691885163852,104788.02078332387
FR0 1 CCGT,FR0 1,CCGT,1603.0,46.803120689655174,104788.02078332388
FR0 10 CCGT,FR0 10,CCGT,1919.0,46.168061622771425,104788.02078332388
FR0 11 CCGT,FR0 11,CCGT,227.0,46.803120689655174,104788.02078332388
FR0 12 CCGT,FR0 12,CCGT,77.0,46.803120689655174,104788.02078332388
FR0 3 CCGT,FR0 3,CCGT,1082.0,47.086775233625524,104788.02078332388
FR0 4 CCGT,FR0 4,CCGT,1316.0,54.05390770658961,104788.0207833239
FR0 5 CCGT,FR0 5,CCGT,346.0,46.803120689655174,104788.02078332388
FR0 8 CCGT,FR0 8,CCGT,488.2,47.41351932181455,104788.02078332388
FR6 0 CCGT,FR6 0,CCGT,231.0,46.803120689655174,104788.02078332388
GB3 0 CCGT,GB3 0,CCGT,144.0,46.803120689655174,104788.02078332388
GB3 1 CCGT,GB3 1,CCGT,9390.0,46.80312068965518,104788.02078332388
GB3 2 CCGT,GB3 2,CCGT,4478.453007396332,46.80312068965518,104788.0207833239
GB3 3 CCGT,GB3 3,CCGT,7475.1224321468435,46.80312068965517,104788.02078332385
GB3 4 CCGT,GB3 4,CCGT,7225.3,46.80312068965517,104788.02078332387
GB3 5 CCGT,GB3 5,CCGT,3088.0,46.803120689655174,104788.02078332388
GB3 6 CCGT,GB3 6,CCGT,2.5,46.803120689655174,104788.02078332388
GB3 7 CCGT,GB3 7,CCGT,1167.1,46.80312068965519,104788.02078332388
GB4 0 CCGT,GB4 0,CCGT,1193.0,46.803120689655174,104788.02078332388
GR0 0 CCGT,GR0 0,CCGT,7749.142334258649,48.06545619071036,104788.0207833239
HR0 0 CCGT,HR0 0,CCGT,810.8,46.80312068965518,104788.02078332388
HU0 0 CCGT,HU0 0,CCGT,2076.7,46.65563941365579,104788.0207833239
IE4 0 CCGT,IE4 0,CCGT,4389.0,54.55488273335465,104788.02078332388
IT0 0 CCGT,IT0 0,CCGT,4381.42,51.633215718035835,104788.02078332387
IT0 1 CCGT,IT0 1,CCGT,5572.0,50.03317105983905,104788.02078332387
IT0 2 CCGT,IT0 2,CCGT,10116.7,61.55270662669789,104788.02078332387
IT0 3 CCGT,IT0 3,CCGT,5396.0,59.3884099537001,104788.02078332388
IT0 4 CCGT,IT0 4,CCGT,1722.9,46.80312068965516,104788.0207833239
IT0 5 CCGT,IT0 5,CCGT,9129.0,47.04613301065307,104788.02078332388
IT0 6 CCGT,IT0 6,CCGT,3596.5,46.80312068965518,104788.0207833239
LT0 0 CCGT,LT0 0,CCGT,1148.0,46.803120689655174,104788.02078332388
LV0 0 CCGT,LV0 0,CCGT,1087.0,46.80312068965518,104788.0207833239
MK0 0 CCGT,MK0 0,CCGT,220.0,46.803120689655174,104788.02078332388
NL0 0 CCGT,NL0 0,CCGT,3419.6,48.90533345412728,104788.02078332391
NL0 1 CCGT,NL0 1,CCGT,7028.4,61.21274136287485,104788.0207833239
NO1 0 CCGT,NO1 0,CCGT,294.0,46.803120689655174,104788.02078332388
NO1 1 CCGT,NO1 1,CCGT,459.0,46.803120689655174,104788.02078332388
PL0 0 CCGT,PL0 0,CCGT,233.0,46.803120689655174,104788.02078332388
PL0 1 CCGT,PL0 1,CCGT,1775.6,46.80312068965518,104788.02078332388
PL0 2 CCGT,PL0 2,CCGT,2136.0,46.803120689655174,104788.02078332388
PL0 3 CCGT,PL0 3,CCGT,2112.9,46.803120689655174,104788.02078332388
PT0 0 CCGT,PT0 0,CCGT,4371.0,46.90221996637235,104788.02078332387
RO0 0 CCGT,RO0 0,CCGT,1261.5,46.803120689655174,104788.02078332388
RS0 0 CCGT,RS0 0,CCGT,299.0,46.803120689655174,104788.02078332388
SE1 0 CCGT,SE1 0,CCGT,50.0,46.803120689655174,104788.02078332388
SE1 1 CCGT,SE1 1,CCGT,126.0,46.803120689655174,104788.02078332388
SI0 0 CCGT,SI0 0,CCGT,194.0,46.803120689655174,104788.02078332388
SK0 0 CCGT,SK0 0,CCGT,777.87,91.64973636767783,104788.02078332388
