Line,s_nom,bus0,bus1,length,capital_cost
0,1787.4764334110814,AL0 0,GR0 0,425.7659547691409,17885.35213640875
1,2279.0324525991286,AL0 0,ME0 0,186.82831104816626,7848.185357983318
10,983.1120383760948,AT0 0,IT0 4,293.541107725467,12330.920355123691
100,4580.4083606158965,FR0 0,FR0 6,240.58206240978794,10106.244653205405
101,1508.1832406906,FR0 0,FR0 8,314.66672950936714,13218.354356065627
102,9663.544468128659,FR0 0,FR0 9,178.01528262407246,7477.972298466701
103,14523.246021465038,FR0 1,FR0 10,222.64553091822054,9352.776278763835
104,3574.952866822163,FR0 1,FR0 2,365.32498120916694,15346.379530734703
105,12177.18320261299,FR0 1,FR0 5,210.48008339479648,8841.736562186637
106,11730.31409426022,FR0 1,FR0 7,205.25974191758746,8622.443205011545
107,9942.837660849138,FR0 1,FR0 8,399.29966963233915,16773.570360266116
108,6870.612540923845,FR0 10,FR0 7,279.17231208728316,11727.323550620247
109,2290.2041803079483,FR0 11,FR0 3,373.16834734576037,15675.859527236116
11,3887.761242669102,AT0 0,SI0 0,211.26293142110046,8874.622030042638
110,10445.565407746008,FR0 11,FR0 7,383.36879073111174,16104.354384213191
111,3574.952866822163,FR0 11,FR0 8,294.063186159361,12352.851551191452
112,4301.115167895415,FR0 11,FR0 9,297.6267587144124,12502.54823148449
113,3574.952866822163,FR0 11,IT0 2,333.60647496319325,14013.965214616544
114,6870.612540923844,FR0 12,FR0 2,323.8617898006026,13604.61560918397
115,8658.088974334925,FR0 12,FR0 6,268.2311122976547,11267.71138849138
116,5083.1361075127625,FR0 2,FR0 4,279.5957823641092,11745.112467125895
117,4580.4083606158965,FR0 2,FR0 5,304.0729321242969,12773.335691300654
118,5865.157047130111,FR0 2,FR0 8,277.1695248629683,11643.191519019469
119,10948.293154642872,FR0 3,FR0 7,222.47176441002355,9345.476786745261
12,7015.845001138495,BA0 0,HR0 0,222.75330268268607,9357.30349832246
120,502.7277468968667,FR0 3,LU0 0,184.73603114589918,7760.293965069415
121,7652.6334805411925,FR0 4,FR0 5,259.6706308705811,10908.10719030363
122,3295.6596741016815,FR0 6,FR0 8,318.1337787907904,13363.996337482768
123,502.7277468968667,FR0 7,FR0 8,423.3422511744435,17783.53847146002
124,2290.2041803079483,FR0 9,IT0 2,330.10306081516086,13866.79563702265
125,3574.952866822163,GB3 0,GB3 2,350.46236347501906,14722.038507535224
126,5418.28793877734,GB3 0,GB3 4,310.2609602719802,13033.279120810736
127,6395.814113299025,GB3 0,GB3 6,248.96360707427587,10458.332170049458
128,10724.858600466488,GB3 1,GB3 5,204.53022516562058,8591.798049258283
129,14299.811467288651,GB3 1,GB3 7,147.92784960380948,6214.075247938558
13,4066.50888601021,BA0 0,ME0 0,201.4832615009753,8463.802803328927
130,9859.049703032995,GB3 2,GB3 4,160.03431266617994,6722.637176320849
131,10724.858600466488,GB3 2,GB3 5,148.7018028637561,6246.587069130961
132,16143.14653924383,GB3 3,GB3 7,165.48476349146,6951.596845877263
133,13489.861208399256,GB3 4,GB3 5,191.55111659743997,8046.578487763614
134,7149.905733644326,GB3 5,GB3 7,177.22023363970632,7444.574299186104
135,1843.3350719551775,GB4 0,IE4 0,277.9310141150289,11675.179758728724
136,3396.21,GB4 0,IE4 0,277.9310141150289,11675.179758728724
137,3574.952866822163,GR0 0,MK0 0,345.300427726258,14505.198627460342
138,7149.905733644326,HR0 0,HU0 0,427.55419905406603,17960.47176113109
139,1787.4764334110814,HR0 0,RS0 0,445.88053586104087,18730.31487209777
14,2279.0324525991286,BA0 0,RS0 0,282.22689019634817,11855.63866012311
140,6345.541338609339,HR0 0,SI0 0,207.96773595427052,8736.199193217866
141,3574.952866822163,HU0 0,RO0 0,600.2541982296904,25215.16243006528
142,1787.4764334110814,HU0 0,RS0 0,437.0877835335006,18360.953560173344
143,3574.952866822163,HU0 0,SI0 0,440.1629063984184,18490.13170296684
144,3396.21,HU0 0,SI0 0,440.1629063984184,18490.13170296684
145,8937.382167055406,HU0 0,SK0 0,187.2112088636038,7864.269927885285
146,6792.42,HU0 0,SK0 0,187.2112088636038,7864.269927885285
147,9473.625097078733,IT0 0,IT0 1,253.95257485449122,10667.906102739147
148,8982.069077890685,IT0 0,IT0 5,316.9103577531662,13312.603510452094
149,8982.069077890685,IT0 1,IT0 6,280.63825364802204,11788.904052141153
15,3396.21,BA0 0,RS0 0,282.22689019634817,11855.63866012311
150,3440.8921343163315,IT0 2,IT0 4,310.39024378409795,13038.709994542553
151,9965.18111626678,IT0 2,IT0 5,261.2135318940997,10972.92056443125
152,3396.205223481055,IT0 3,IT0 6,413.69126737474204,17378.125023562265
153,11707.970638842584,IT0 4,IT0 5,229.97086313004064,9660.4949788079
154,2189.658630928575,IT0 4,SI0 0,301.9101950607278,12682.484571038185
155,4424.004172692426,LT0 0,LV0 0,227.3904023933217,9552.096342342427
156,3574.952866822163,LT0 0,PL0 3,543.2904593994434,22822.259670759853
157,983.1120383760948,ME0 0,RS0 0,276.2703354127881,11605.418841862751
158,3396.21,ME0 0,RS0 0,276.2703354127881,11605.418841862751
159,1787.4764334110814,MK0 0,RS0 0,380.1316687877875,15968.371069398263
16,5094.3078352215825,BE0 0,BE0 1,153.54403151410804,6449.996861685912
160,8490.513058702638,NL0 0,NL0 1,174.83805275193188,7344.504898255326
161,3396.21,NL0 0,NL0 1,174.83805275193188,7344.504898255326
162,17159.773760746382,NO1 0,NO1 2,271.6260701201982,11410.32498984748
163,2882.305748875369,NO1 1,NO1 2,984.9101801082061,41373.58846251693
164,2279.0324525991286,NO1 1,SE1 2,365.196104829982,15340.965759628843
165,3753.7005101632712,NO1 2,SE1 0,526.9898154333664,22137.510798479554
166,1787.4764334110814,NO1 2,SE1 1,393.81965118667677,16543.36862967488
167,4558.064905198257,PL0 0,PL0 1,368.54952496641766,15481.834467729275
168,13003.891053065616,PL0 0,PL0 2,381.95554708514345,16044.987588959704
169,11395.162262995644,PL0 0,PL0 3,248.0053156727358,10418.076769226887
17,3396.21,BE0 0,BE0 1,153.54403151410804,6449.996861685912
170,10412.05022461955,PL0 1,PL0 2,279.52113660497076,11741.976787363985
171,6837.097357797386,PL0 1,PL0 3,309.8830777180796,13017.405229375752
172,3574.952866822163,PL0 3,SK0 0,463.4289517899242,19467.479492257276
173,10099.24184877261,RO0 0,RS0 0,445.8441731387534,18728.78736599855
174,6792.42,RO0 0,RS0 0,445.8441731387534,18728.78736599855
175,13003.891053065618,SE1 0,SE1 1,581.9213441804469,24445.045546215573
176,3396.21,SE1 0,SE1 1,581.9213441804469,24445.045546215573
177,14970.115129817805,SE1 1,SE1 2,528.5806634001112,22204.338302562515
18,1005.4554937937334,BE0 0,FR0 3,304.5435863706727,12793.106687165016
19,2290.2041803079483,BE0 0,FR0 7,268.65494675374407,11285.515603247846
2,3396.21,AL0 0,MK0 0,184.15747505584758,7735.990285347425
20,983.1120383760948,BE0 0,LU0 0,120.84117901711008,5076.232646341385
21,3396.205223481055,BE0 0,NL0 0,315.3184486977164,13245.731432713292
22,3574.952866822163,BE0 1,FR0 10,141.8600794113595,5959.183551317074
23,3396.21,BE0 1,FR0 10,141.8600794113595,5959.183551317074
24,3396.205223481055,BE0 1,NL0 1,149.16498742512846,6266.044282399186
25,1787.4764334110814,BG0 0,GR0 0,507.87286915080296,21334.456180780377
26,3396.21,BG0 0,GR0 0,507.87286915080296,21334.456180780377
27,1787.4764334110814,BG0 0,MK0 0,337.6675987330686,14184.56276446795
28,7149.905733644326,BG0 0,RO0 0,391.53647037970785,16447.457972032298
29,1787.4764334110814,BG0 0,RS0 0,443.66894270033157,18637.411430620854
3,4155.882707680764,AT0 0,CH0 0,542.8674389450738,22804.489650159197
30,27482.450163695376,CH0 0,DE0 6,251.14358732950936,10549.907633231831
31,4301.115167895415,CH0 0,FR0 11,296.7877498417892,12467.303588355206
32,3485.5790451516086,CH0 0,FR0 3,255.4087588635171,10729.076714163344
33,7552.08793116182,CH0 0,IT0 2,211.517868635964,8885.331298384635
34,3396.205223481055,CZ0 0,DE0 12,352.036005324147,14788.143226085358
35,3396.205223481055,CZ0 0,DE0 4,305.0981463541245,12816.402351070727
36,4558.064905198257,CZ0 0,PL0 0,390.4542195685365,16401.99534957295
37,6345.541338609339,CZ0 0,SK0 0,380.6855960198387,15991.640153016175
38,5585.863854409629,DE0 0,DE0 1,195.7394059011224,8222.51794042871
39,5265.43,DE0 0,DE0 1,195.7394059011224,8222.51794042871
4,4379.31726185715,AT0 0,CZ0 0,336.86313572088466,14150.769305661628
40,13584.82089392422,DE0 0,DE0 12,202.14667738189638,8491.67122848188
41,5265.43,DE0 0,DE0 12,202.14667738189638,8491.67122848188
42,5362.429300233245,DE0 0,DE0 4,194.5211245930039,8171.3410204499405
43,1698.1026117405274,DE0 0,DE0 6,279.0629847788444,11722.730986589115
44,5265.43,DE0 0,DE0 7,261.79863841721374,10997.499411297667
45,8758.6345237143,DE0 1,DE0 11,206.62033283875206,8679.598192313957
46,13584.82089392422,DE0 1,DE0 2,230.85707007936347,9697.722293901625
47,9741.746562090393,DE0 1,DE0 6,214.52234232121435,9011.541647623135
48,11663.283728007307,DE0 1,DE0 8,159.25108329598243,6689.735689171282
49,6568.975892785725,DE0 10,DE0 12,287.21331345266526,12065.10570379213
5,3396.21,AT0 0,CZ0 0,336.86313572088466,14150.769305661628
50,5265.43,DE0 10,DE0 12,287.21331345266526,12065.10570379213
51,6792.41044696211,DE0 10,DE0 3,231.88966507690463,9741.099001077124
52,3396.205223481055,DE0 10,DE0 9,285.2290738859556,11981.752812429924
53,5265.43,DE0 10,DE0 9,285.2290738859556,11981.752812429924
54,3574.952866822163,DE0 10,PL0 2,287.42957799047025,12074.190430670671
55,15059.488951488362,DE0 11,DE0 5,200.30942875713222,8414.493055243822
56,3396.21,DE0 11,DE0 5,200.30942875713222,8414.493055243822
57,5265.43,DE0 11,DE0 5,200.30942875713222,8414.493055243822
58,8982.069077890685,DE0 11,DE0 8,205.4087004618256,8628.700577137202
59,10188.615670443165,DE0 11,NL0 0,194.16104126420134,8156.214829494687
6,8758.6345237143,AT0 0,DE0 4,248.47848720118458,10437.953509751662
60,8758.6345237143,DE0 12,DE0 2,198.51314340864732,8339.035645755683
61,16981.026117405276,DE0 12,DE0 3,174.90867158021203,7347.471416825219
62,3396.205223481055,DE0 12,DE0 4,337.4157855750863,14173.98472986315
63,11663.283728007305,DE0 2,DE0 5,189.76556503632918,7971.571977566017
64,3396.205223481055,DE0 2,DE0 9,304.25062776433117,12780.800236221443
65,3574.952866822163,DE0 3,PL0 2,197.53337810075803,8297.878180377458
66,4379.31726185715,DE0 4,DE0 7,181.27231831722742,7614.7921396034
67,8758.6345237143,DE0 5,DE0 9,222.59168096097096,9350.514178102307
68,3396.205223481055,DE0 5,NL0 0,152.1130332140421,6389.884238267821
69,3396.21,DE0 5,NL0 0,152.1130332140421,6389.884238267821
7,3396.21,AT0 0,DE0 4,248.47848720118458,10437.953509751662
70,7283.966466150157,DE0 6,DE0 7,182.00318043741254,7645.493810876672
71,6591.319348203363,DE0 6,FR0 3,171.8261144053164,7217.980977451043
72,4077.6806137190297,DE0 8,FR0 3,194.4105488771213,8166.6960139759785
73,1966.2240767521896,DE0 8,LU0 0,88.01838973082246,3697.430189478182
74,10188.615670443165,DE0 9,DK0 0,278.2617389402619,11689.072673118162
75,3396.21,DE0 9,DK0 0,278.2617389402619,11689.072673118162
76,3396.21,DE0 9,DK0 0,278.2617389402619,11689.072673118162
77,3574.952866822163,DK1 0,SE1 0,259.7651606307268,10912.078146714397
78,3318.00312951932,EE0 0,LV0 0,268.43616041964526,11276.324942077877
79,14791.367486476698,ES0 0,ES0 2,434.8131816400163,18265.403281013125
8,7552.087931161818,AT0 0,DE0 7,329.4657263150885,13840.02282478909
80,4066.50888601021,ES0 0,ES0 3,515.1383176226702,21639.65931619485
81,2279.0324525991286,ES0 0,ES0 4,531.8209848794895,22340.456021804002
82,7641.461752832373,ES0 0,ES0 5,433.7811604704746,18222.050678902207
83,6345.541338609339,ES0 1,ES0 3,455.93064807530476,19152.49469636295
84,29940.23025963561,ES0 1,ES0 5,378.71342303441156,15908.794148249533
85,17427.895225758042,ES0 1,PT0 0,367.6710300036705,15444.931113708606
86,3396.21,ES0 1,PT0 0,367.6710300036705,15444.931113708606
87,7015.845001138494,ES0 2,ES0 3,404.7893284911687,17004.177060259684
88,491.5560191880474,ES0 2,FR0 12,407.62383741896724,17123.247619423957
89,1787.4764334110814,ES0 2,FR0 6,288.402870949099,12115.07600900772
9,4379.31726185715,AT0 0,HU0 0,508.54783487017534,21362.809785468016
90,13495.447072253664,ES0 3,ES0 5,346.2745713894001,14546.119941744839
91,2290.2041803079483,ES0 3,FR0 12,340.05116213687404,14284.690241404505
92,19349.432391674956,ES0 4,ES0 5,437.16062025067885,18364.01324665274
93,3574.952866822163,ES0 4,PT0 0,462.1262131380496,19412.754732634065
94,14299.811467288651,FI1 0,FI1 1,477.297442352307,20050.059744459853
95,3396.21,FI1 0,FI1 1,477.297442352307,20050.059744459853
96,983.1120383760948,FI1 0,NO1 1,646.0576210820673,27139.248509732653
97,3574.952866822163,FI1 0,SE1 2,432.8191139314566,18181.63753424089
98,3396.21,FI1 0,SE1 2,432.8191139314566,18181.63753424089
99,10668.999961922393,FR0 0,FR0 11,260.3283258504895,10935.7352948579
